date,variation
29/12/2020,0.24
28/12/2020,1.38
23/12/2020,0.79
22/12/2020,0.74
21/12/2020,-1.82
18/12/2020,-0.43
17/12/2020,0.56
16/12/2020,1.42
15/12/2020,1.42
14/12/2020,-0.53
11/12/2020,0.08
10/12/2020,1.77
09/12/2020,-0.61
08/12/2020,0.12
07/12/2020,-0.11
04/12/2020,1.18
03/12/2020,0.37
02/12/2020,0.65
01/12/2020,1.95
30/11/2020,-1.35
27/11/2020,0.40
26/11/2020,0.18
25/11/2020,0.10
24/11/2020,2.36
23/11/2020,1.23
20/11/2020,-0.68
19/11/2020,0.79
18/11/2020,-1.14
17/11/2020,0.58
16/11/2020,1.67
13/11/2020,2.16
12/11/2020,-2.17
11/11/2020,-0.11
10/11/2020,1.51
09/11/2020,2.38
06/11/2020,0.25
05/11/2020,2.96
04/11/2020,2.06
03/11/2020,1.76
30/10/2020,-2.31
29/10/2020,1.35
28/10/2020,-4.31
27/10/2020,-1.59
26/10/2020,-0.22
23/10/2020,-0.63
22/10/2020,1.46
21/10/2020,-0.02
20/10/2020,1.76
19/10/2020,0.49
16/10/2020,-0.84
15/10/2020,-0.26
14/10/2020,0.83
13/10/2020,1.23
09/10/2020,-0.66
08/10/2020,2.52
07/10/2020,-0.09
06/10/2020,-0.66
05/10/2020,2.81
02/10/2020,-1.96
01/10/2020,0.94
30/09/2020,1.26
29/09/2020,-1.40
28/09/2020,-2.46
25/09/2020,0.21
24/09/2020,1.23
23/09/2020,-1.60
22/09/2020,0.29
21/09/2020,-1.31
18/09/2020,-1.80
17/09/2020,0.48
16/09/2020,-0.57
15/09/2020,-0.05
14/09/2020,2.15
11/09/2020,-0.59
10/09/2020,-2.52
09/09/2020,0.72
08/09/2020,-0.64
04/09/2020,0.47
03/09/2020,-1.21
02/09/2020,-0.20
01/09/2020,2.77
31/08/2020,-2.64
28/08/2020,1.48
27/08/2020,0.25
26/08/2020,-1.75
25/08/2020,-0.15
24/08/2020,0.92
21/08/2020,-0.07
20/08/2020,0.69
19/08/2020,-1.27
18/08/2020,2.53
17/08/2020,-1.68
14/08/2020,0.99
13/08/2020,-1.85
12/08/2020,0.13
11/08/2020,-1.35
10/08/2020,0.72
07/08/2020,-1.34
06/08/2020,1.19
05/08/2020,1.42
04/08/2020,-1.61
03/08/2020,-0.09
31/07/2020,-1.99
30/07/2020,-0.17
29/07/2020,1.43
28/07/2020,-0.41
27/07/2020,1.90
24/07/2020,0.19
23/07/2020,-1.97
22/07/2020,0.09
21/07/2020,-0.21
20/07/2020,1.38
17/07/2020,2.39
16/07/2020,-1.23
15/07/2020,1.48
14/07/2020,1.63
13/07/2020,-1.34
10/07/2020,0.97
09/07/2020,-0.72
08/07/2020,2.13
07/07/2020,-1.27
06/07/2020,2.27
03/07/2020,0.75
02/07/2020,-0.19
01/07/2020,1.16
30/06/2020,-0.74
29/06/2020,2.31
26/06/2020,-2.35
25/06/2020,1.78
24/06/2020,-1.62
23/06/2020,0.56
22/06/2020,-0.96
19/06/2020,0.01
18/06/2020,0.74
17/06/2020,2.17
16/06/2020,1.04
15/06/2020,-0.20
12/06/2020,-2.11
10/06/2020,-1.92
09/06/2020,-1.06
08/06/2020,3.19
05/06/2020,0.82
04/06/2020,1.05
03/06/2020,1.81
02/06/2020,2.87
01/06/2020,1.40
29/05/2020,0.60
28/05/2020,-1.22
27/05/2020,2.70
26/05/2020,-0.18
25/05/2020,3.33
22/05/2020,-0.04
21/05/2020,1.94
